Stanice ID|Doména ID|Přístroj|Začátek měření|Konec měření|Výška přístroje [m]
O3PRER01|Fmax|Anemograf|1978-09-01|1978-10-31|10
O3PRER01|Fmax|Anemograf|1984-05-19|1999-12-31|10
O3PRER01|Fmax|Anemometr miskový|2000-01-01|2020-12-31|10
B2NEDV01|Fmax|Anemograf|1961-01-01|1961-12-31|10
B2NEDV01|Fmax|Anemograf|1962-02-01|1963-06-30|10
B2NEDV01|Fmax|Anemograf|1963-08-01|1974-11-30|10
B2NEDV01|Fmax|Anemometr miskový|1999-10-01|2009-11-12|10
B2NEDV01|Fmax|Ultrasonický snímač|2009-11-13|2020-12-31|10
H2KRAL01|Fmax|Anemometr miskový|2011-12-21|2020-12-31|10
H2USTI01|Fmax|Anemograf|1981-01-01|1991-08-31|10
H2USTI01|Fmax|Anemometr miskový|2004-01-01|2010-02-28|10
H2USTI01|Fmax|Anemometr miskový|2010-03-01|2020-12-31|9.84
H2ZAMB01|Fmax|Anemometr miskový|2010-06-24|2020-12-31|10
H3GAJE01|Fmax|Anemometr miskový|2002-05-30|2020-12-31|10
H3MOKO01|Fmax|Anemometr miskový|2002-05-29|2018-08-17|15
H3MOKO01|Fmax|Anemometr miskový|2019-01-17|2020-12-31|15
H3SECA01|Fmax|Anemometr miskový|2001-09-24|2020-12-31|10
H3SKUT01|Fmax|Anemometr miskový|2011-12-21|2020-12-31|10
H3SVRA01|Fmax|Anemograf|1961-01-01|1970-12-31|10
H3SVRA01|Fmax|Anemograf|1981-01-01|2000-12-31|10
H3SVRA01|Fmax|Anemometr miskový|2001-01-01|2010-02-28|10
H3SVRA01|Fmax|Anemometr miskový|2010-03-01|2018-06-19|16.32
H3SVRA01|Fmax|Ultrasonický snímač|2018-06-20|2020-12-31|16.32
O2JEVI01|Fmax|Anemometr miskový|1998-01-01|2020-12-31|10
O2TREB01|Fmax|Anemometr miskový|2011-03-28|2020-12-31|10
O7STME01|Fmax|Anemograf|1985-06-01|1990-01-31|10
O7STME01|Fmax|Anemograf|1990-03-21|1992-05-31|10
O7STME01|Fmax|Anemograf|1992-07-01|2005-08-31|10
C1VLKO01|Fmax|Anemometr miskový|2012-02-24|2020-12-31|10
L1DOMA01|Fmax|Anemometr miskový|2012-02-23|2020-12-31|10
L1HOJS01|Fmax|Anemometr miskový|2007-02-02|2020-12-31|10
L1KLAT01|Fmax|Anemometr miskový|1999-05-01|2020-12-31|10
L1NEPO01|Fmax|Anemometr miskový|2009-12-01|2020-12-31|10
L1PLMI01|Fmax|Anemometr miskový|2004-07-01|2016-12-31|20.4
L1PLMI01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|20.4
L1PLZD01|Fmax|Anemograf|1987-01-01|1998-06-30|10
L1STAN01|Fmax|Anemometr miskový|1999-04-01|2020-12-31|10
L2KONL01|Fmax|Anemometr miskový|2001-11-01|2020-12-31|10
L2KRAL01|Fmax|Anemometr miskový|2000-01-01|2020-12-31|10
L2PRIM01|Fmax|Anemograf|1961-01-01|1999-12-31|10
L2PRIM01|Fmax|Anemometr miskový|2000-01-01|2010-02-28|10
L2PRIM01|Fmax|Anemometr miskový|2010-03-01|2016-12-31|11.25
L2PRIM01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|11.25
L2STRI01|Fmax|Anemometr miskový|2012-12-12|2020-12-31|10
L2ZBIR01|Fmax|Anemometr miskový|2011-09-23|2020-12-31|10
P1PKAR01|Fmax|Anemograf|1961-01-01|1974-12-31|8.5
P1PKAR01|Fmax|Anemograf|1981-01-01|1992-12-31|8.5
P1PKAR01|Fmax|Anemograf|1995-01-01|1999-07-31|8.5
P1PKAR01|Fmax|Anemometr miskový|2002-06-11|2020-12-31|8.5
P1PKLE01|Fmax|Anemometr miskový|2012-06-01|2020-12-31|26
P1PLIB01|Fmax|Anemograf|1971-10-01|1995-12-31|10
P1PLIB01|Fmax|Anemometr miskový|2004-01-01|2016-12-31|10
P1PLIB01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|10
P1PRUZ01|Fmax|Anemograf|1961-01-01|1976-08-31|18
P1PRUZ01|Fmax|Anemograf|1976-09-01|1995-12-31|10
P1PRUZ01|Fmax|Anemo čidlo|1996-01-01|2010-02-28|10
P1PRUZ01|Fmax|Anemo čidlo|2010-03-01|2016-12-31|9.55
P1PRUZ01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|9.55
P1PVIN01|Fmax|Anemometr miskový|2018-08-31|2020-12-31|10
C1ROZM01|Fmax|Anemometr miskový|2011-01-28|2020-12-31|10
H3PODE01|Fmax|Anemometr miskový|2002-05-28|2020-12-31|24
H3RADO01|Fmax|Anemometr miskový|2011-05-05|2020-12-31|10
H3ZBYS01|Fmax|Anemometr miskový|2016-04-20|2020-12-31|10
L2HERM01|Fmax|Anemometr miskový|2010-12-22|2020-12-31|10
P1DOBE01|Fmax|Anemometr miskový|2011-03-01|2020-12-31|10
P1KRAL01|Fmax|Anemometr miskový|2012-11-01|2020-12-31|10
P1LANY01|Fmax|Anemometr miskový|2007-04-01|2020-12-31|10
P1NEUM01|Fmax|Anemometr miskový|2004-08-27|2020-12-31|10
P1PRIB01|Fmax|Anemograf|1976-11-01|1997-12-31|10
P1PRIB01|Fmax|Anemometr miskový|2004-08-25|2013-04-15|30
P1PRIB01|Fmax|Anemometr miskový|2013-10-10|2020-12-31|30
P2BRAN01|Fmax|Anemometr miskový|2009-11-01|2020-12-31|10
P2KATU01|Fmax|Anemometr miskový|2016-05-11|2020-12-31|10
P2MLAD01|Fmax|Anemograf|1967-09-01|1968-08-20|10
P2SEMC01|Fmax|Anemometr miskový|2004-10-21|2020-12-31|10
P2TUHA01|Fmax|Anemometr miskový|2012-03-01|2020-12-31|10
P3HULI01|Fmax|Anemometr miskový|2012-07-01|2020-12-31|10
P3NETV01|Fmax|Anemometr miskový|2016-05-11|2020-12-31|10
P3NRUD01|Fmax|Anemometr miskový|2004-08-26|2020-12-31|10
P3ONDR01|Fmax|Anemometr miskový|2004-10-20|2020-12-31|10
P3STAN01|Fmax|Anemometr miskový|2011-03-01|2020-12-31|10
P3VLAS01|Fmax|Anemometr miskový|2013-07-01|2020-12-31|10
U1DOKS01|Fmax|Anemograf|1971-01-01|2000-12-31|10
U1DOKS01|Fmax|Anemometr miskový|2001-01-01|2016-12-31|10
U1DOKS01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|10
U1KATU01|Fmax|Anemograf|1975-01-01|1976-12-31|14
U1KATU01|Fmax|Anemograf|1978-01-01|1990-02-28|14
U1KATU01|Fmax|Anemograf|1990-04-01|2001-11-29|14
U1KATU01|Fmax|Anemometr miskový|2001-11-30|2016-12-31|14.53
U1KATU01|Fmax|Ultrasonický snímač|2017-01-01|2020-12-31|14.53
U1LOUN01|Fmax|Anemometr miskový|2011-04-11|2012-10-17|10
U1MEDE01|Fmax|Ultrasonický snímač|2009-11-26|2010-12-10|10
